QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
junit5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>,,low,low,low,low,,,,,,19,25,,,,,,,,,,,,,5,5,0,25,0,3,0,1,0,19,,,,,,,
JavaLibraryExtension,JavaLibraryExtension,low,low,low,low,1,4,0,1,0,4,4,0,2,0,4,0,0,0,0.25,1,0,0,,,,,4,,,,,,4,,,,,,,
<Method>JavaLibraryExtension.public final getMainJavaVersion( ): JavaVersion,final getMainJavaVersion( ): JavaVersion,,low,,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>JavaLibraryExtension.public final getTestJavaVersion( ): JavaVersion,final getTestJavaVersion( ): JavaVersion,,low,,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>JavaLibraryExtension.public final setMainJavaVersion( JavaVersion ): void,final setMainJavaVersion( JavaVersion ): void,,low,,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>JavaLibraryExtension.public final setTestJavaVersion( JavaVersion ): void,final setTestJavaVersion( JavaVersion ): void,,low,,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Field>JavaLibraryExtension->mainJavaVersion,mainJavaVersion : JavaVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>JavaLibraryExtension->testJavaVersion,testJavaVersion : JavaVersion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License,License,low,low,low,low-medium,0,11,0,1,0,11,1,0,3,0,11,0,0,0,0.673,1,0,0,,,,,1,,,,,,11,,,,,,,
"<Method>License.public License( String, URI, File ): void","License( String, URI, File ): void",,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
