QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
<Method>org.junit.gen5.api.extension.ConditionEvaluationResult.public isDisabled( ): boolean,isDisabled( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Field>org.junit.gen5.api.extension.ConditionEvaluationResult->enabled,final enabled : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.junit.gen5.api.extension.ContainerExecutionCondition,ContainerExecutionCondition,low,low,low,low,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,,3,,,,,,1,,,,,,,
org.junit.gen5.api.extension.ContainerExtensionContext,ContainerExtensionContext,low,low,low,low,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,0,,,,,,,
"org.junit.gen5.api.extension.ContextScope<K,V>",ContextScope,low,low,low,low,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,,,,,28,,,,,,0,,,,,,,
org.junit.gen5.api.extension.ContextScope.Inheritance,Inheritance,low,low,low,low,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,,,,,2,,,,,,0,,,,,,,
org.junit.gen5.api.extension.ExtendWith,ExtendWith,low,low,low,low,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,,1,,,,,,,
org.junit.gen5.api.extension.ExtensionConfigurationException,ExtensionConfigurationException,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
org.junit.gen5.api.extension.ExtensionContext,ExtensionContext,low,low,low,low,0,0,0,1,0,7,8,0,0,0,0,0,0,0,0,0,0,0,,,,,8,,,,,,7,,,,,,,
org.junit.gen5.api.extension.ExtensionPoint,ExtensionPoint,low,low,low,low,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
org.junit.gen5.api.extension.ExtensionPoint.Position,Position,low,low,low,low,0,1,0,0,0,1,5,2,1,5,1,0,0,0,0,0,0,0,,,,,5,,,,,,1,,,,,,,
org.junit.gen5.api.extension.ExtensionRegistrar,ExtensionRegistrar,low,low,low,low,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,2,,,,,,1,,,,,,,
org.junit.gen5.api.extension.ExtensionRegistry,ExtensionRegistry,low,low,low,low,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,2,,,,,,,
org.junit.gen5.api.extension.Extensions,Extensions,low,low,low,low,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,1,,,,,,,
org.junit.gen5.api.extension.InstancePostProcessor,InstancePostProcessor,low,low,low,low,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,2,,,,,,1,,,,,,,
org.junit.gen5.api.extension.MethodContext,MethodContext,low,low,low,low,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,,,,,3,,,,,,2,,,,,,,
