QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
junit5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>org.junit.jupiter.api,org.junit.jupiter.api,low-medium,medium-high,medium-high,low,,,,,,489,1111,,,,,,,,,,,,,30,20,10,1111,4,11,0.367,0.733,0.1,489,,,,,,,
org.junit.jupiter.api.AfterAll,AfterAll,low,low,low,low,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
org.junit.jupiter.api.AfterEach,AfterEach,low,low,low,low,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
org.junit.jupiter.api.AssertAll,AssertAll,low,low,low,low,3,23,12,1,0,9,30,29,0,0,1,6,0,0,0.543,0,0,0,,,,,30,,,,,,9,,,,,,,
<Method>org.junit.jupiter.api.AssertAll.private AssertAll( ): void,AssertAll( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>org.junit.jupiter.api.AssertAll.static assertAll( Collection ): void,static assertAll( Collection ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
<Method>org.junit.jupiter.api.AssertAll.static assertAll( Executable ): void,static assertAll( Executable ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
<Method>org.junit.jupiter.api.AssertAll.static assertAll( Stream ): void,static assertAll( Stream ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,0
"<Method>org.junit.jupiter.api.AssertAll.static assertAll( String, Collection ): void","static assertAll( String, Collection ): void",low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,2,4,0
"<Method>org.junit.jupiter.api.AssertAll.static assertAll( String, Executable ): void","static assertAll( String, Executable ): void",low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,2,4,0
"<Method>org.junit.jupiter.api.AssertAll.static assertAll( String, Stream ): void","static assertAll( String, Stream ): void",low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,14,2,4,0
org.junit.jupiter.api.AssertArrayEquals,AssertArrayEquals,high,low,low-medium,medium-high,2,113,44,1,0,112,227,226,0,0,1,51,0,0,0.766,0,0,0,,,,,227,,,,,,112,,,,,,,
<Method>org.junit.jupiter.api.AssertArrayEquals.private AssertArrayEquals( ): void,AssertArrayEquals( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.private static assertArrayElementsEqual( Object, Object, Deque, Supplier ): void","static assertArrayElementsEqual( Object, Object, Deque, Supplier ): void",high,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,3,27,4,15,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.static assertArrayEquals( Object, Object ): void","static assertArrayEquals( Object, Object ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,0
"<Method>org.junit.jupiter.api.AssertArrayEquals.private static assertArrayEquals( Object, Object, Deque, Supplier ): void","static assertArrayEquals( Object, Object, Deque, Supplier ): void",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,14,4,5,0
