QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
junit5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>,,low,low,low,low,,,,,,46,37,,,,,,,,,,,,,2,2,0,37,0,1,0,1,0,46,,,,,,,
License,License,low,low,low,low-medium,0,11,0,1,0,11,1,0,3,0,11,0,0,0,0.673,1,0,0,,,,,1,,,,,,11,,,,,,,
"<Method>License.public License( String, URI, File ): void","License( String, URI, File ): void",,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>License.public equals( Object ): boolean,equals( Object ): boolean,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>License.public final component1( ): String,final component1( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>License.public final component2( ): URI,final component2( ): URI,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>License.public final component3( ): File,final component3( ): File,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"<Method>License.public final copy( String, URI, File ): License","final copy( String, URI, File ): License",,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>License.public final getHeaderFile( ): File,final getHeaderFile( ): File,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>License.public final getName( ): String,final getName( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>License.public final getUrl( ): URI,final getUrl( ): URI,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>License.public hashCode( ): int,hashCode( ): int,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>License.public toString( ): String,toString( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Field>License->headerFile,final headerFile : File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>License->name,final name : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>License->url,final url : URI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Versions,Versions,low-medium,low,medium-high,low,1,35,0,1,0,35,36,0,0,36,35,0,0,0,0,1,0,0,,,,,36,,,,,,35,,,,,,,
<Method>Versions.public final getApiGuardian( ): String,final getApiGuardian( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getArchunit( ): String,final getArchunit( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getAsciidoctorDiagram( ): String,final getAsciidoctorDiagram( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getAsciidoctorJ( ): String,final getAsciidoctorJ( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getAsciidoctorPdf( ): String,final getAsciidoctorPdf( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getAsciidoctorPlugin( ): String,final getAsciidoctorPlugin( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getAssertJ( ): String,final getAssertJ( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getBartholdy( ): String,final getBartholdy( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getBuildScanPlugin( ): String,final getBuildScanPlugin( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getCheckstyle( ): String,final getCheckstyle( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getClassgraph( ): String,final getClassgraph( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getCommonsIo( ): String,final getCommonsIo( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getGitPublishPlugin( ): String,final getGitPublishPlugin( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getJacoco( ): String,final getJacoco( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getJavaCompilerScriptEngine( ): String,final getJavaCompilerScriptEngine( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getJimfs( ): String,final getJimfs( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getJmh( ): String,final getJmh( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getJmhPlugin( ): String,final getJmhPlugin( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getJruby( ): String,final getJruby( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getJunit4( ): String,final getJunit4( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getJvmTarget( ): JavaVersion,final getJvmTarget( ): JavaVersion,,low,,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getKotlin( ): String,final getKotlin( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getKtlint( ): String,final getKtlint( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getLog4j( ): String,final getLog4j( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getMockito( ): String,final getMockito( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getNexusPublishPlugin( ): String,final getNexusPublishPlugin( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getOta4j( ): String,final getOta4j( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getPicocli( ): String,final getPicocli( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getShadowPlugin( ): String,final getShadowPlugin( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getSlf4j( ): String,final getSlf4j( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getSpotlessPlugin( ): String,final getSpotlessPlugin( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getSurefire( ): String,final getSurefire( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getUnivocity( ): String,final getUnivocity( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getVersioningPlugin( ): String,final getVersioningPlugin( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Method>Versions.public final getVersionsPlugin( ): String,final getVersionsPlugin( ): String,,low,,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
<Field>Versions->INSTANCE,static final INSTANCE : Versions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>Versions->apiGuardian,static final apiGuardian : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>Versions->archunit,static final archunit : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>Versions->asciidoctorDiagram,static final asciidoctorDiagram : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>Versions->asciidoctorJ,static final asciidoctorJ : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>Versions->asciidoctorPdf,static final asciidoctorPdf : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
