QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
dropwizard-parent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>$,$,low,low,low,low,,,,,,0,1,,,,,,,,,,,,,1,1,0,1,0,0,0,1,0,0,,,,,,,
$.,,low,low,low,low,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,0,,,,,,,
<Package>com.example.app1,com.example.app1,low,low,low,low,,,,,,14,109,,,,,,,,,,,,,5,5,0,109,0,3,0,1,0,14,,,,,,,
com.example.app1.App1,App1,low-medium,low-medium,low,low,8,10,4,2,0,2,29,27,1,0,2,0,0,0,0.375,1,1,0,,,,,29,,,,,,2,,,,,,,
<Anonymous> : Lcom.example.app1.App1$1187;,Lcom.example.app1.App1$1187;,low,low,low,low,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
<Anonymous> : Lcom.example.app1.App1$1605;,Lcom.example.app1.App1$1605;,low,low,low,low,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
<Anonymous> : Lcom.example.app1.App1$2053;,Lcom.example.app1.App1$2053;,low,low,low,low,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,,0,,,,,,,
<Method>com.example.app1.App1.public initialize( Bootstrap ): void,initialize( Bootstrap ): void,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,0
"<Method>com.example.app1.App1.public run( Configuration, Environment ): void","run( Configuration, Environment ): void",low,low-medium,low,low,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,24,2,13,0
<Field>com.example.app1.App1->wasEofExceptionHit,volatile wasEofExceptionHit : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.example.app1.App1Resource,App1Resource,low,low,low,low,4,9,5,1,0,4,22,18,0,0,4,0,0,0,0.375,0,0,0,,,,,22,,,,,,4,,,,,,,
<Anonymous> : Lcom.example.app1.App1Resource$685;,Lcom.example.app1.App1Resource$685;,low,low,low,low,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,0,,,,,,,
<Method>com.example.app1.App1Resource.public emptyOptional( ): OptionalInt,emptyOptional( ): OptionalInt,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,1,0
<Method>com.example.app1.App1Resource.public getMissingTemplateView( ): View,getMissingTemplateView( ): View,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,0,0,0
