QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
dropwizard-project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>,,low,low,low,low,,,,,,0,51,,,,,,,,,,,,,1,1,0,51,0,0,0,1,0,0,,,,,,,
MavenWrapperDownloader,MavenWrapperDownloader,low,low,low-medium,low,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,,,,,51,,,,,,0,,,,,,,
<Package>$,$,low,low,low,low,,,,,,0,1,,,,,,,,,,,,,1,1,0,1,0,0,0,1,0,0,,,,,,,
$.,,low,low,low,low,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,0,,,,,,,
<Package>com.example.app1,com.example.app1,low,low,low,low,,,,,,14,109,,,,,,,,,,,,,5,5,0,109,0,3,0,1,0,14,,,,,,,
com.example.app1.App1,App1,low-medium,low-medium,low,low,9,31,4,2,0,2,25,23,1,0,2,0,0,0,0.375,1,1,0,,,,,25,,,,,,2,,,,,,,
<Anonymous> : Lcom.example.app1.App1$1340;,Lcom.example.app1.App1$1340;,low,low,low,low,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
<Anonymous> : Lcom.example.app1.App1$1788;,Lcom.example.app1.App1$1788;,low,low,low,low,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,,0,,,,,,,
<Method>com.example.app1.App1.public initialize( Bootstrap ): void,initialize( Bootstrap ): void,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,0
"<Method>com.example.app1.App1.public run( Configuration, Environment ): void","run( Configuration, Environment ): void",low,medium-high,low,low,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,20,2,13,0
<Field>com.example.app1.App1->wasEofExceptionHit,volatile wasEofExceptionHit : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com.example.app1.App1Resource,App1Resource,low,low,low,low,2,6,2,1,0,4,24,20,0,0,4,0,0,0,0.375,0,0,0,,,,,24,,,,,,4,,,,,,,
