QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
<Method>org.apache.lucene.analysis.CannedBinaryTokenStream.public incrementToken( ): boolean,incrementToken( ): boolean,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,12,0,0,4
<Field>org.apache.lucene.analysis.CannedBinaryTokenStream->tokens,final tokens : BinaryToken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.CannedBinaryTokenStream->upto,upto : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.CannedTokenStream,CannedTokenStream,low,low,low,low,0,2,0,0,0,3,37,19,3,0,2,0,0,1,0,1,0,0,,,,,37,,,,,,3,,,,,,,
<Method>org.apache.lucene.analysis.CannedTokenStream.public end( ): void,end( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,0,3
<Method>org.apache.lucene.analysis.CannedTokenStream.public incrementToken( ): boolean,incrementToken( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,14,0,0,2
<Field>org.apache.lucene.analysis.CannedTokenStream->finalOffset,final finalOffset : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.CannedTokenStream->finalPosInc,final finalPosInc : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.CannedTokenStream->upto,upto : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.CharFilter,CharFilter,low,low,low,low,0,3,2,0,0,4,12,7,0,0,3,0,0,0,0.167,0,0,0,,,,,12,,,,,,4,,,,,,,
<Method>org.apache.lucene.analysis.CharFilter.protected abstract correct( int ): int,abstract correct( int ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-2147483648,1,1,0,0
<Method>org.apache.lucene.analysis.CharFilter.public close( ): void,close( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
<Method>org.apache.lucene.analysis.CharFilter.public final correctOffset( int ): int,final correctOffset( int ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,2,0
org.apache.lucene.analysis.CollationTestBase,CollationTestBase,low,low,low-medium,low,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,,,,,117,,,,,,0,,,,,,,
<Anonymous> : Lorg.apache.lucene.analysis.CollationTestBase$8720;,Lorg.apache.lucene.analysis.CollationTestBase$8720;,low,low,low,low,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,,,,,16,,,,,,0,,,,,,,
org.apache.lucene.analysis.CrankyTokenFilter,CrankyTokenFilter,low,low,low,low,0,4,0,0,0,12,27,21,1,0,4,0,0,0,0,0,0,0,,,,,27,,,,,,12,,,,,,,
<Method>org.apache.lucene.analysis.CrankyTokenFilter.public close( ): void,close( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,0,0,1
<Method>org.apache.lucene.analysis.CrankyTokenFilter.public end( ): void,end( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,0,0,1
<Method>org.apache.lucene.analysis.CrankyTokenFilter.public incrementToken( ): boolean,incrementToken( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,0,0,1
<Method>org.apache.lucene.analysis.CrankyTokenFilter.public reset( ): void,reset( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,6,0,0,2
<Field>org.apache.lucene.analysis.CrankyTokenFilter->thingToDo, thingToDo : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.DelegatingAnalyzerWrapper,DelegatingAnalyzerWrapper,low,low,low,low,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,,,,,30,,,,,,0,,,,,,,
org.apache.lucene.analysis.DelegatingAnalyzerWrapper.DelegatingReuseStrategy,DelegatingReuseStrategy,low,low,low,low,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,,,,,19,,,,,,0,,,,,,,
org.apache.lucene.analysis.LegacyNumericTokenStream,LegacyNumericTokenStream,low,low,low-medium,low-medium,0,12,3,0,0,13,128,32,3,0,9,0,0,0.167,0.689,0.444,0,0,,,,,128,,,,,,13,,,,,,,
org.apache.lucene.analysis.LegacyNumericTokenStream.LegacyNumericTermAttribute,LegacyNumericTermAttribute,low,low,low,low,0,6,0,1,1,6,7,6,0,0,6,0,0,0,0.5,0,0,0,,,,,7,,,,,,6,,,,,,,
org.apache.lucene.analysis.LegacyNumericTokenStream.LegacyNumericTermAttributeImpl,LegacyNumericTermAttributeImpl,low,low,low,low,0,10,0,0,0,10,62,29,4,0,10,0,0,0.542,0.567,0.622,0,0,,,,,62,,,,,,10,,,,,,,
org.apache.lucene.analysis.LegacyNumericTokenStream.NumericAttributeFactory,NumericAttributeFactory,low,low,low,low,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,9,,,,,,0,,,,,,,
<Method>org.apache.lucene.analysis.LegacyNumericTokenStream.public LegacyNumericTokenStream( ): void,LegacyNumericTokenStream( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.apache.lucene.analysis.LegacyNumericTokenStream.public LegacyNumericTokenStream( int ): void,LegacyNumericTokenStream( int ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
<Method>org.apache.lucene.analysis.LegacyNumericTokenStream.public getPrecisionStep( ): int,getPrecisionStep( ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>org.apache.lucene.analysis.LegacyNumericTokenStream.public incrementToken( ): boolean,incrementToken( ): boolean,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,9,0,1,3
<Method>org.apache.lucene.analysis.LegacyNumericTokenStream.public reset( ): void,reset( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5,0,1,3
<Method>org.apache.lucene.analysis.LegacyNumericTokenStream.public setDoubleValue( double ): LegacyNumericTokenStream,setDoubleValue( double ): LegacyNumericTokenStream,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,4
<Method>org.apache.lucene.analysis.LegacyNumericTokenStream.public setFloatValue( float ): LegacyNumericTokenStream,setFloatValue( float ): LegacyNumericTokenStream,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,4
<Method>org.apache.lucene.analysis.LegacyNumericTokenStream.public setIntValue( int ): LegacyNumericTokenStream,setIntValue( int ): LegacyNumericTokenStream,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,4
<Method>org.apache.lucene.analysis.LegacyNumericTokenStream.public setLongValue( long ): LegacyNumericTokenStream,setLongValue( long ): LegacyNumericTokenStream,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,4
<Field>org.apache.lucene.analysis.LegacyNumericTokenStream->numericAtt,final numericAtt : LegacyNumericTermAttribute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.LegacyNumericTokenStream->precisionStep,final precisionStep : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.lucene.analysis.LegacyNumericTokenStream->valSize,valSize : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.lucene.analysis.LookaheadTokenFilter<T>,LookaheadTokenFilter,low-medium,low,low-medium,low,0,7,3,0,0,34,133,100,5,1,7,0,0,0.458,0,0,0,0,,,,,133,,,,,,34,,,,,,,
org.apache.lucene.analysis.LookaheadTokenFilter.Position,Position,low,low,low,low,0,1,0,0,0,1,16,6,3,0,1,0,0,0,0,0,0,0,,,,,16,,,,,,1,,,,,,,
<Method>org.apache.lucene.analysis.LookaheadTokenFilter<T>.protected abstract newPosition( ): T,abstract newPosition( ): T,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-2147483648,1,0,0,0
<Method>org.apache.lucene.analysis.LookaheadTokenFilter<T>.protected afterPosition( ): void,afterPosition( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>org.apache.lucene.analysis.LookaheadTokenFilter<T>.protected insertToken( ): void,insertToken( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,0,0,5
<Method>org.apache.lucene.analysis.LookaheadTokenFilter<T>.private insertedTokenConsistent( ): boolean,insertedTokenConsistent( ): boolean,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,0,0,1
<Method>org.apache.lucene.analysis.LookaheadTokenFilter<T>.protected nextToken( ): boolean,nextToken( ): boolean,medium-high,low,low-medium,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,6,46,0,5,30
<Method>org.apache.lucene.analysis.LookaheadTokenFilter<T>.protected peekToken( ): boolean,peekToken( ): boolean,low,low,low-medium,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,32,0,0,22
<Method>org.apache.lucene.analysis.LookaheadTokenFilter<T>.public reset( ): void,reset( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,0,0,4
<Field>org.apache.lucene.analysis.LookaheadTokenFilter<T>->end,end : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
